pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_mass,rowupdate
11 Com b,11 Com,2,1,323.21,1.178,15.464,2.09,2023-09-19
11 UMi b,11 UMi,1,1,516.21997,1.53,14.74,2.78,2018-09-04
14 And b,14 And,1,1,186.76,0.775,3.559,1.78,2023-09-19
14 Her b,14 Her,1,2,1765.0389,2.774,8.053,0.91,2023-06-12
16 Cyg B b,16 Cyg B,3,1,799.45,1.676,1.752,0.98,2021-09-20
17 Sco b,17 Sco,1,1,578.38,1.45,4.32,1.22,2021-10-25
18 Del b,18 Del,2,1,982.85,2.476,9.207,2.1,2023-09-19
24 Boo b,24 Boo,1,1,30.33,0.194,0.883,1.05,2023-09-19
24 Sex b,24 Sex,1,2,452.8,1.333,1.99,1.54,2014-05-14
24 Sex c,24 Sex,1,2,883.0,2.08,0.86,1.54,2014-05-14
30 Ari B b,30 Ari B,4,1,335.10001,0.99,13.82,1.93,2018-09-04
4 UMa b,4 UMa,1,1,270.27,0.877,7.902,1.23,2023-09-19
42 Dra b,42 Dra,2,1,479.1,1.19,3.88,0.98,2014-05-14
47 UMa b,47 UMa,1,3,1076.6,2.059,2.438,1.01,2021-09-20
47 UMa c,47 UMa,1,3,2287.0,3.404,0.497,1.01,2021-09-20
47 UMa d,47 UMa,1,3,19000.0,13.8,1.51,1.01,2021-09-20
51 Peg b,51 Peg,1,1,4.2307969,0.05235,0.464,1.07,2022-05-09
55 Cnc b,55 Cnc,2,5,14.65171,0.1162,0.841,0.97,2022-05-09
55 Cnc c,55 Cnc,2,5,44.3827,0.2432,0.171,0.97,2021-09-20
55 Cnc d,55 Cnc,2,5,4820.0,5.54,2.86,0.97,2021-09-20
55 Cnc f,55 Cnc,2,5,260.98,0.792,0.1475,0.97,2021-09-20
6 Lyn b,6 Lyn,1,1,919.86,2.028,1.881,1.32,2023-09-19
61 Vir b,61 Vir,1,3,4.21487,0.04956,0.0161,0.91,2021-09-20
61 Vir c,61 Vir,1,3,38.0957,0.2151,0.0507,0.91,2021-09-20
61 Vir d,61 Vir,1,3,123.01,0.476,0.072,0.94,2014-05-14
7 CMa b,7 CMa,1,2,763.0,1.9,2.6,1.52,2019-10-18
7 CMa c,7 CMa,1,2,996.0,2.153,0.87,1.34,2019-10-18
70 Vir b,70 Vir,1,1,116.69335,0.4765,7.23,1.06,2021-09-20
75 Cet b,75 Cet,2,2,696.62,1.912,2.479,1.92,2023-09-19
75 Cet c,75 Cet,2,2,2051.62,3.929,0.912,1.92,2023-09-19
8 UMi b,8 UMi,1,1,93.4,0.49,1.31,1.44,2018-09-04
81 Cet b,81 Cet,1,1,1005.57,2.104,3.307,1.23,2023-09-19
91 Aqr b,91 Aqr,3,1,181.4,0.7,3.2,1.4,2014-05-14
AF Lep b,AF Lep,1,1,8030.0,8.4,3.2,1.2,2023-06-12
BD+03 2562 b,BD+03 2562,1,1,481.9,1.3,6.4,1.14,2017-06-13
BD+14 4559 b,BD+14 4559,1,1,268.94,0.78,1.04,0.49,2018-09-04
BD+15 2375 b,BD+15 2375,1,1,153.22,0.576,1.061,1.08,2016-02-03
BD+15 2940 b,BD+15 2940,1,1,137.48,0.539,1.11,1.1,2014-05-14
BD+20 2457 b,BD+20 2457,1,2,379.63,1.05,55.59,10.83,2018-09-04
BD+20 2457 c,BD+20 2457,1,2,621.99,2.01,12.47,2.8,2014-05-14
BD+20 274 b,BD+20 274,1,1,578.2,1.3,4.2,0.8,2015-09-16
BD+45 564 b,BD+45 564,1,1,307.88,0.83,1.36,0.81,2021-05-28
BD+48 738 b,BD+48 738,1,1,392.6,1.0,0.91,0.74,2015-08-12
BD+48 740 b,BD+48 740,1,1,733.0,1.7,1.7,1.09,2018-02-01
BD+49 828 b,BD+49 828,1,1,2590.0,4.2,1.6,1.52,2015-02-05
BD+55 362 b,BD+55 362,1,1,265.59,0.78,0.72,0.91,2021-05-28
BD+63 1405 b,BD+63 1405,1,1,1230.0,2.115,10.4,0.82,2023-06-12
BD-00 4475 b,BD-00 4475,1,1,723.2,1.48,25.05,0.81,2021-05-28
BD-06 1339 b,BD-06 1339,1,2,3.8728,0.0428,0.027,0.7,2014-05-14
BD-06 1339 c,BD-06 1339,1,2,125.94,0.435,0.17,0.7,2014-05-14
BD-08 2823 b,BD-08 2823,1,2,5.6,0.06,0.04,0.5,2018-09-04
BD-08 2823 c,BD-08 2823,1,2,237.6,0.68,0.33,0.74,2014-05-14
BD-10 3166 b,BD-10 3166,1,1,3.487905,0.045,0.449,1.0,2022-05-09
BD-11 4672 b,BD-11 4672,1,2,1634.0,2.36,0.65,0.65,2020-07-17
BD-11 4672 c,BD-11 4672,1,2,74.2,0.3,0.04836,0.65,2020-07-17
BD-13 2130 b,BD-13 2130,1,1,714.29999,1.66,9.78,2.12,2018-09-04
BD-17 63 b,BD-17 63,1,1,655.59998,1.34,2.85,0.31,2019-09-04
BD-210397 b,BD-210397,1,2,1891.0,2.63,0.7,0.68,2023-06-27
BD-210397 c,BD-210397,1,2,6240.0,5.9,4.8,0.69,2023-09-05
CD Cet b,CD Cet,1,1,2.2907,0.0185,0.01243,0.16,2021-11-02
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.5,2.6,10.5,0.02,2014-05-14
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,8040000.0,200.0,7.8,0.01,2021-05-17
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000.0,7506.0,6.3,0.37,2021-08-16
CoRoT-10 b,CoRoT-10,1,1,13.2406,0.1055,2.73,0.89,2019-03-18
CoRoT-14 b,CoRoT-14,1,1,1.51214,0.02691,7.42,1.13,2019-03-18
CoRoT-16 b,CoRoT-16,1,1,5.35227,0.0618,0.529,1.1,2019-03-18
CoRoT-17 b,CoRoT-17,1,1,3.7681,0.0481,2.41,1.04,2019-03-18
CoRoT-20 c,CoRoT-20,1,2,1675.0,2.9,17.0,1.14,2018-07-18
CoRoT-21 b,CoRoT-21,1,1,2.72474,0.0416,2.22,1.29,2019-03-18
CoRoT-22 b,CoRoT-22,1,1,9.75598,0.092,0.038,1.1,2014-08-21
CoRoT-23 b,CoRoT-23,1,1,3.6313,0.0484,3.09,1.14,2019-03-18
CoRoT-24 b,CoRoT-24,1,2,5.1134,0.056,0.018,0.91,2018-06-06
CoRoT-24 c,CoRoT-24,1,2,11.759,0.098,0.088,0.91,2014-06-11
CoRoT-25 b,CoRoT-25,1,1,4.86069,0.05789,0.293,1.09,2019-03-18
CoRoT-26 b,CoRoT-26,1,1,4.20474,0.0525,0.58,1.09,2019-03-18
CoRoT-27 b,CoRoT-27,1,1,3.57532,0.0467,10.3,1.05,2019-03-18
CoRoT-28 b,CoRoT-28,1,1,5.20851,0.059,0.481,1.01,2019-03-18
CoRoT-29 b,CoRoT-29,1,1,2.85057,0.039,0.84,0.97,2019-03-18
CoRoT-3 b,CoRoT-3,1,1,4.2567994,0.05783,21.96,1.4,2023-03-15
CoRoT-30 b,CoRoT-30,1,1,9.06005,0.0844,2.9,0.98,2020-04-10
CoRoT-31 b,CoRoT-31,1,1,4.62941,0.0586,0.84,1.25,2020-04-10
