pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_mass,rowupdate
"OGLE-TR-10 b","OGLE-TR-10",1,1,3.10127800,0.043400,0.62000,1.14,"2014-05-14"
"BD-08 2823 b","BD-08 2823",1,2,5.60000000,0.056000,0.04500,0.74,"2018-04-25"
"BD-08 2823 c","BD-08 2823",1,2,237.60000000,0.680000,0.33000,0.74,"2014-05-14"
"HR 8799 c","HR 8799",1,4,69000.00000000,38.000000,10.00000,1.50,"2014-05-14"
"HD 104985 b","HD 104985",1,1,198.20000000,0.780000,6.30000,,"2014-05-16"
"4 UMa b","4 UMa",1,1,269.30000000,0.870000,7.10000,1.23,"2014-05-14"
"HD 104985 b","HD 104985",1,1,199.50500000,0.950000,8.30000,2.30,"2014-05-14"
"kap CrB b","kap CrB",1,1,1261.94000000,2.800000,2.00000,1.47,"2018-12-03"
"kap CrB b","kap CrB",1,1,1251.00000000,2.600000,1.86000,,"2018-12-03"
"kap CrB b","kap CrB",1,1,1300.00000000,2.800000,2.17000,,"2018-12-03"
"14 And b","14 And",1,1,,0.680000,3.20000,1.20,"2014-07-23"
"18 Del b","18 Del",2,1,,2.540000,9.84000,2.10,"2014-07-23"
"81 Cet b","81 Cet",1,1,,2.170000,4.01000,1.60,"2014-07-23"
"HD 81688 b","HD 81688",1,1,,0.660000,1.77000,1.10,"2014-07-23"
"xi Aql b","xi Aql",1,1,,0.580000,2.02000,1.40,"2014-07-23"
"HD 180314 b","HD 180314",1,1,,1.340000,20.30000,2.30,"2018-04-25"
"HD 208897 b","HD 208897",1,1,352.70000000,1.050000,1.40000,1.25,"2017-09-27"
"HD 147379 b","HD 147379",2,1,86.54000000,0.319300,0.07771,0.58,"2018-11-06"
"HD 47366 c","HD 47366",1,2,684.70000000,1.853000,1.86000,1.81,"2019-09-20"
"6 Lyn b","6 Lyn",1,1,899.00000000,2.200000,2.40000,1.70,"2018-12-03"
"81 Cet b","81 Cet",1,1,952.70000000,2.500000,5.30000,2.40,"2014-05-14"
"TOI-4145 A b","TOI-4145 A",2,1,4.06644460,,,,"2023-12-04"
"gam Lib b","gam Lib",1,2,415.20000000,1.240000,1.02000,1.47,"2018-04-25"
"gam Lib c","gam Lib",1,2,964.60000000,2.170000,4.58000,1.47,"2018-04-25"
"HD 110014 b","HD 110014",1,1,835.47700000,2.140000,11.09000,2.17,"2014-05-14"
"TOI-2084 b","TOI-2084",2,1,6.07842470,0.050060,,0.45,"2023-07-25"
"TOI-470 b","TOI-470",1,1,12.19145583,,,,"2023-12-04"
"K2-371 b","K2-371",1,1,3.11490850,,,,"2019-09-05"
"TOI-5704 b","TOI-5704",1,1,3.77111600,,,0.73,"2023-05-26"
"HD 23472 d","HD 23472",1,5,3.97664000,0.042980,0.00173,0.67,"2022-10-03"
"TOI-2796 b","TOI-2796",1,1,4.80849800,,,,"2023-12-04"
"TOI-2194 b","TOI-2194",1,1,15.33759700,,,0.74,"2023-05-26"
"TOI-672 b","TOI-672",1,1,3.63357500,,,0.54,"2023-05-26"
"TOI-1221 b","TOI-1221",1,1,91.68143360,,,,"2023-12-04"
"TOI-199 b","TOI-199",1,2,104.85400000,0.425400,0.17000,0.94,"2023-10-09"
"TOI-199 c","TOI-199",1,2,273.69000000,0.807000,0.28000,0.94,"2023-10-09"
"HD 235088 b","HD 235088",1,1,7.43413930,0.072000,,0.84,"2023-07-21"
"TOI-2096 c","TOI-2096",1,2,6.38784000,0.040000,,0.23,"2023-03-28"
"HD 23472 c","HD 23472",1,5,29.79752050,,,,"2023-12-04"
"TOI-3235 b","TOI-3235",1,1,2.59261990,,,,"2023-12-04"
"Kepler-33 d","Kepler-33",1,5,21.77575400,0.166000,,1.29,"2013-10-28"
"HIP 5158 b","HIP 5158",1,2,345.72000000,0.890000,1.42000,0.78,"2019-09-04"
"HD 6718 b","HD 6718",1,1,2496.00000000,3.560000,1.56000,0.96,"2018-04-25"
"HD 156846 b","HD 156846",2,1,359.55460000,1.096000,10.57000,1.35,"2018-04-25"
"HD 132563 b","HD 132563",3,1,1544.00000000,2.620000,1.49000,1.23,"2019-01-28"
"HD 137388 b","HD 137388",1,1,330.00000000,0.890000,0.22300,0.86,"2018-04-25"
"HD 85512 b","HD 85512",1,1,58.43000000,0.260000,0.01100,0.69,"2018-04-25"
"HD 23127 b","HD 23127",1,1,1214.00000000,2.400000,1.50000,1.13,"2019-06-24"
"HD 100655 b","HD 100655",2,1,157.57000000,0.760000,1.70000,2.40,"2018-04-25"
"Kepler-24 c","Kepler-24",1,4,12.33350000,0.106000,1.60000,1.03,"2014-05-14"
"GJ 667 C b","GJ 667 C",3,5,7.19990000,0.050431,0.01800,,"2014-09-18"
"GJ 667 C b","GJ 667 C",3,5,7.20066000,0.049000,0.01789,,"2014-05-16"
"HD 155358 b","HD 155358",1,2,194.30000000,0.640000,0.85000,0.92,"2019-01-28"
"HD 79498 b","HD 79498",2,1,1966.10000000,3.130000,1.34000,1.06,"2019-01-28"
"GJ 667 C b","GJ 667 C",3,5,7.20040000,0.050500,0.01800,0.33,"2014-05-14"
"GJ 667 C b","GJ 667 C",3,5,7.20000000,0.050000,0.01800,,"2014-09-18"
"GJ 667 C b","GJ 667 C",3,5,7.20300000,,,,"2023-12-14"
"GJ 667 C c","GJ 667 C",3,5,28.10000000,0.125010,0.01300,,"2014-09-18"
"GJ 667 C c","GJ 667 C",3,5,28.15500000,0.123000,0.01430,,"2014-05-16"
"GJ 667 C c","GJ 667 C",3,5,28.14000000,0.125000,0.01200,0.33,"2014-05-14"
"GJ 667 C c","GJ 667 C",3,5,28.14300000,0.125000,,,"2014-09-18"
"GJ 667 C e","GJ 667 C",3,5,62.24000000,0.213000,0.00800,0.33,"2014-05-14"
"GJ 667 C f","GJ 667 C",3,5,39.02600000,0.156000,0.00800,0.33,"2014-05-14"
"GJ 667 C g","GJ 667 C",3,5,256.20000000,0.549000,0.01400,0.33,"2014-05-14"
"CHXR 73 b","CHXR 73",1,1,,210.000000,12.56900,0.35,"2014-05-14"
"HD 13189 b","HD 13189",1,1,471.60000000,1.850000,14.00000,,"2018-04-25"
"GJ 433 b","GJ 433",1,3,7.37090000,0.058000,0.01800,0.48,"2020-02-06"
"HIP 5158 b","HIP 5158",1,2,345.63000000,0.890000,1.44000,0.78,"2019-09-04"
"alf Ari b","alf Ari",1,1,380.80000000,1.200000,1.80000,1.50,"2019-01-28"
"tau Gem b","tau Gem",1,1,305.00000000,,18.10000,,"2014-05-16"
"HD 62509 b","HD 62509",1,1,589.70000000,1.690000,2.90000,1.70,"2015-03-26"
"Kepler-370 c","Kepler-370",1,2,19.02293000,0.140000,,,"2014-05-14"
"Kepler-400 b","Kepler-400",1,2,9.02438900,0.087000,,,"2014-05-14"
"Kepler-221 b","Kepler-221",1,4,2.79590600,0.037000,,,"2014-05-14"
"Kepler-367 c","Kepler-367",1,2,53.57863700,0.253000,,,"2014-05-14"
"Kepler-393 c","Kepler-393",1,2,14.61361200,0.124000,,,"2014-05-14"
"Kepler-304 c","Kepler-304",1,4,5.31594600,0.054000,,,"2014-05-14"
"Kepler-360 b","Kepler-360",1,2,3.28967200,0.044000,,,"2014-05-14"
